meter_id,time,value,anomaly
0,01.03 00:00,366.57,0
0,01.03 01:00,174.2,0
0,01.03 02:00,467.25,0
0,01.03 03:00,218.79,0
0,01.03 04:00,493.55,0
0,01.03 05:00,164.83,0
0,01.03 06:00,439.6,0
0,01.03 07:00,102.17,0
0,01.03 08:00,400.88,0
0,01.03 09:00,148.2,0
0,01.03 10:00,448.11,0
0,01.03 11:00,503.92,0
0,01.03 12:00,260.21,0
0,01.03 13:00,422.85,0
0,01.03 14:00,197.82,0
0,01.03 15:00,336.51,0
0,01.03 16:00,479.4,0
0,01.03 17:00,317.07,0
0,01.03 18:00,501.28,0
0,01.03 19:00,112.67,0
0,01.03 20:00,486.66,0
0,01.03 21:00,395.82,0
0,01.03 22:00,440.72,0
0,01.03 23:00,569.82,0
0,02.03 00:00,375.87,0
0,02.03 01:00,506.38,0
0,02.03 02:00,287.34,0
0,02.03 03:00,112.81,0
0,02.03 04:00,503.5,0
0,02.03 05:00,251.01,0
0,02.03 06:00,357.03,0
0,02.03 07:00,517.32,0
0,02.03 08:00,481.91,0
0,02.03 09:00,420.02,0
0,02.03 10:00,525.24,0
0,02.03 11:00,284.48,0
0,02.03 12:00,99.16,0
0,02.03 13:00,347.95,0
0,02.03 14:00,555.0,0
0,02.03 15:00,468.0,0
0,02.03 16:00,559.42,0
0,02.03 17:00,408.9,0
0,02.03 18:00,534.81,0
0,02.03 19:00,266.86,0
0,02.03 20:00,460.8,0
0,02.03 21:00,181.05,0
0,02.03 22:00,587.41,0
0,02.03 23:00,255.78,0
0,03.03 00:00,502.36,0
0,03.03 01:00,449.78,0
0,03.03 02:00,121.7,0
0,03.03 03:00,70.97,0
0,03.03 04:00,205.11,0
0,03.03 05:00,271.39,0
0,03.03 06:00,545.79,0
0,03.03 07:00,458.48,0
0,03.03 08:00,319.05,0
0,03.03 09:00,583.55,0
0,03.03 10:00,463.41,0
0,03.03 11:00,88.95,0
0,03.03 12:00,373.03,0
0,03.03 13:00,370.56,0
0,03.03 14:00,400.28,0
0,03.03 15:00,323.52,0
0,03.03 16:00,514.64,0
0,03.03 17:00,267.17,0
0,03.03 18:00,548.43,0
0,03.03 19:00,375.84,0
0,03.03 20:00,377.94,0
0,03.03 21:00,583.89,0
0,03.03 22:00,348.93,0
0,03.03 23:00,94.78,0
0,04.03 00:00,437.18,0
0,04.03 01:00,355.01,0
0,04.03 02:00,251.8,0
0,04.03 03:00,530.78,0
0,04.03 04:00,309.59,0
0,04.03 05:00,291.7,0
0,04.03 06:00,367.25,0
0,04.03 07:00,184.1,0
0,04.03 08:00,531.82,0
0,04.03 09:00,522.99,0
0,04.03 10:00,280.99,0
0,04.03 11:00,129.41,0
0,04.03 12:00,497.85,0
0,04.03 13:00,437.14,0
0,04.03 14:00,532.25,0
0,04.03 15:00,555.7,0
0,04.03 16:00,177.08,0
